# server -> client. opcode  handler_va  handler_name (from the handler's own log string)
0x0105  180de5590  receive_eSUB_CMD_SYSTEM_KEEP_ALIVE
0x0106  180de5730  ?
0x0107  180de57b0  receive_eSUB_CMD_SYSTEM_SERVER_OPTION_UPDATE 
0x0109  180de5940  receive_eSUB_CMD_SYSTEM_EVENT
0x0111  180de59b0  receive_eSUB_CMD_SYSTEM_SG_TOKEN_UPDATE
0x0115  180e410f0  receive_eSUB_CMD_SYSTEM_PACKET_TIME
0x0130  180de5a20  ?
0x0304  180dd6520  ?
0x0307  180dd6c50  ?
0x0308  180dd6410  ?
0x0309  180dd22d0  ?
0x030a  180dd2380  ?
0x030c  180dd23e0  ?
0x031a  180e41b80  ?
0x031b  180e41c50  ?
0x031d  180e41d00  ?
0x0320  180e1dbb0  receive_eSUB_CMD_CHARACTER_PLAY_CUTSCENE%d
0x0322  180dc5960  ?
0x0323  180e1d150  receive_eSUB_CMD_CHARACTER_LOAD_TITLE
0x0324  180e1d4e0  receive_eSUB_CMD_CHARACTER_ADD_TITLE
0x0325  180e1d590  receive_eSUB_CMD_CHARACTER_UPDATE_TITLE
0x0326  180e1d730  receive_eSUB_CMD_CHARACTER_UPDATE_TITLE_BT
0x0327  180e1d930  receive_eSUB_CMD_CHARACTER_CLEAR_TITLE
0x0328  180e1d9b0  receive_eSUB_CMD_CHARACTER_CLEAR_TITLE
0x0329  180e1da90  receive_eSUB_CMD_CHARACTER_UPDATE_OPEN_TITLE
0x032a  180e1d7d0  receive_eSUB_CMD_CHARACTER_FAVORITE_TITLE
0x032b  180e26f00  receive_eSUB_CMD_CHARACTER_BACKGROUND_ADD
0x0330  180dc5b80  ?
0x0334  180dd2430  ?
0x0335  180dd3b60  ?
0x0336  180dd3fd0  ?
0x0337  180dd4930  ?
0x0340  180dd5450  ?
0x0341  180dd5990  ?
0x0344  180dd5ea0  ?
0x0346  180dd7210  ?
0x0347  180e27590  ?
0x0348  180dd6300  ?
0x0351  180dd3850  ?
0x0352  180dd4cc0  ?
0x0353  180dd5380  ?
0x0354  180dd70e0  ?
0x0358  180e1dc10  receive_eSUB_CMD_CHARACTER_UPDATE_SHARE_POINT
0x035b  180e418d0  receive_eSUB_CMD_CHARACTER_QUICK_CHANGE_LIST - Count : %d
0x035d  180e41d50  ?
0x035e  180e41fc0  ?
0x0360  180e23a60  receive_eSUB_CMD_CHARACTER_GOBACK_LOBBY : Result(%d)
0x0363  180e1e0d0  receive_eSUB_CMD_CHARACTER_GET_REWARD_SHARE_POINT
0x0364  180e271e0  receive_eSUB_CMD_CHARACTER_FP_UPDATE
0x0365  180e27340  receive_eSUB_CMD_NPC_CREDIT_LOAD
0x0366  180e27450  receive_eSUB_CMD_NPC_CREDIT_UPDATE
0x0367  180e274b0  ?
0x0368  180e26640  receive_eSUB_CMD_OTHER_CHARACTER_INFO_REFUSE
0x0369  180e242d0  receive_eSUB_CMD_USER_STATISTICS_INFO_UPDATE
0x0370  180e243a0  receive_eSUB_CMD_ACHIEVE_SELECT : 
0x0371  180e244e0  receive_eSUB_CMD_ACHIEVE_UPDATE : %d
