# client -> server. opcode  sender_va  sender_name (from the sender's own log string)
0x0101  1805f8810  ?
0x0102  1805f86f0  ?
0x0105  1805ef010  ?
0x0106  1805ef350  ?
0x0108  1805ef540  ?
0x0112  180602f90  send_eSUB_CMD_SYSTEM_GAME_GUARD_AUTH
0x0113  180603020  send_eSUB_CMD_SYSTEM_GAME_GUARD_ERROR
0x0115  180609de0  ?
0x0201  1805f4610  send_eSUB_CMD_LOGIN_REQ
0x0203  1805f4810  send_eSUB_CMD_SERVER_LIST_REQ
0x0205  1805f4900  send_eSUB_CMD_SERVER_CONNECT_REQ
0x0207  1805f49f0  send_eSUB_CMD_LOGIN_STEAM_TRANSFER_VFUN_REQ
0x0208  1805f4a80  send_eSUB_CMD_LOGIN_TRANSFER_VFUN_REQ
0x0213  1805fd5a0  send_eSUB_CMD_ENTER_SERVER_REQ
0x0222  180607360  send_eSUB_CMD_LOGIN_FOR_STEAM
0x0223  1805f4b10  send_eSUB_CMD_LOGIN_FOR_VFUN
0x0232  1805f8780  ?
0x0233  1805f4ba0  send_eSUB_CMD_MOBILE_AUTH
0x0235  1805f4c80  send_eSUB_CMD_ENTER_WAIT_CANCEL
0x0301  1805f4e40  send_eSUB_CMD_CREATE_CHARACTER_REQ
0x0302  1805f4f30  send_eSUB_CMD_DELETE_CHARACTER_REQ
0x0306  1805f5100  send_eSUB_CMD_CHARACTER_CHANGE_SLOT : [%d] -> [%d]
0x030b  180601d40  send_eSUB_CMD_CHARACTER_PROFILE_PHOTO_FAVORITE
0x030c  180601e70  send_eSUB_CMD_CHARACTER_PROFILE_PHOTO_CAHNGE
0x030d  1805f5220  send_eSUB_CMD_CHARACTER_REPRESENTATIVE_CHECK
0x030f  1805f52a0  send_eSUB_CMD_CHARACTER_REPRESENTATIVE_CHANGE
0x0311  1805f4d60  send_eSUB_CMD_CHARACTER_LIST_REQ
0x0313  1805f5000  send_eSUB_CMD_SELECT_CHARACTER_REQ
0x0317  180605fd0  send_eSUB_CMD_SECOND_PASSWORD
0x0318  1806060f0  send_eSUB_CMD_TRADE_PASSWORD
0x0319  180606210  send_eSUB_CMD_CHARACTER_UPDATE_CUTSCENE%d
0x031c  180609790  ?
0x031d  180609700  ?
0x0321  1805fd7e0  send_eSUB_CMD_ENTER_GAMESERVER_REQ
0x0323  1805fb9e0  send_eSUB_CMD_CHARACTER_LOAD_TITLE
0x0325  1805fbb30  send_eSUB_CMD_CHARACTER_UPDATE_TITLE
0x032a  1805fbc30  send_eSUB_CMD_CHARACTER_FAVORITE_TITLE
0x032c  180601fd0  send_eSUB_CMD_CHARACTER_BACKGROUND_CHANGE. DistrictID : %d
0x0331  1805f5390  send_eSUB_CMD_CHARACTER_INFO_REQ
0x0340  180601cc0  send_eSUB_CMD_CHARACTER_CHECK_ENTER_MAZE
0x0342  1805f5510  ?
0x0345  1805f56a0  ?
0x0347  180601bf0  send_eSUB_CMD_CHARACTER_UPDATE_SPECIAL_OPTION_LIST
0x0349  1805f5640  ?
0x035b  180601a80  send_eSUB_CMD_CHARACTER_QUICK_CHANGE_LIST
0x035c  1806099b0  ?
0x0360  180601b00  send_eSUB_CMD_CHARATER_CHANGE_SERVER
0x0363  1805fba60  send_eSUB_CMD_CHARACTER_GET_REWARD_SHARE_POINT
0x0374  180602180  send_eSUB_CMD_ACHIEVE_REWARD
0x0375  180602370  send_eSUB_CMD_OTHER_CHARACTER_INFO
0x0377  1806028d0  send_eSUB_CMD_CHARACTER_COMMUNITY
0x037a  1806027c0  send_eSUB_CMD_CHARACTER_EQUALIZER_UPDATE
0x037b  180602740  send_eSUB_CMD_CHARACTER_CASH_MILEAGE
0x037c  180601f40  send_eSUB_CMD_CHARACTER_SERVER_LOCATION_UPDATE
0x0401  1805f3910  ?
0x0406  1805f3bd0  ?
0x0407  1805f3c30  ?
0x040b  1805f3e00  ?
0x040d  1805f3da0  ?
0x0419  1805ef5f0  ?
0x0431  1805f3fe0  ?
0x0433  1805f40a0  ?
0x0440  1805f6150  ?
0x0441  1805f6530  send_eSUB_CMD_MAZE_CREATE_REQ : %d, %d, %d
0x0461  1805f3f20  ?
0x0462  180608c50  send_eSUB_CMD_WORLD_AREA_WORLDMODE
0x0501  1805ef650  ?
0x0501  1805ef970  ?
0x0501  180602b20  ?
0x0503  1805efbf0  ?
0x0505  1805f02b0  ?
0x0507  1805f0760  ?
0x0510  1805f08e0  ?
0x0513  1805f00c0  ?
0x0516  1805f09e0  ?
0x0522  1805efe70  ?
0x0530  1805f0ac0  ?
0x0532  1805f0c70  ?
0x0536  1805f0d40  ?
0x0540  1805f0e50  ?
0x0550  1805f06a0  ?
0x0606  1805f0f80  ?
0x0608  1805f1190  ?
0x0619  1805f3490  ?
0x061a  1805f13f0  ?
0x0620  1805f1640  ?
0x0623  180609c40  send_eSUB_CMD_SUPPORT_SKILL_REQ
0x0631  1805f17d0  ?
0x0633  1805f1ab0  ?
0x0636  1805f1cb0  ?
0x0637  1805f1e30  ?
0x0641  1805f1ff0  ?
0x0643  1805f2190  ?
0x0645  1805f2250  ?
0x0647  1805f23e0  ?
0x064a  1805f2710  ?
0x064c  1805f29e0  ?
0x064c  1805f2a40  ?
0x0654  1805f2f70  ?
0x0655  1805f2fe0  ?
0x0656  1805f3050  ?
0x0665  1805f3290  ?
0x0667  1805f3230  ?
0x066a  1805f30b0  ?
0x0671  1805f2b10  ?
0x0672  1805f2c00  ?
0x0675  1805f2cd0  ?
0x0676  1805f2d40  ?
0x0677  1805f2e00  ?
0x0679  1805f2f00  ?
0x067a  1805f3300  ?
0x067f  1805f31a0  ?
0x0680  1805f1bb0  ?
0x0701  1805f89a0  ?
0x0702  1805f8c50  ?
0x0703  1805f8f00  ?
0x0706  1805f91b0  ?
0x070a  1805f9460  ?
0x0801  1805f5860  send_eSUB_CMD_ITEM_INVEN_INFO
0x0802  1805f5980  ?
0x0803  1805f5a50  ?
0x0804  1805f5b20  ?
0x0805  1805f5bb0  ?
0x080f  1805f5f90  ?
0x0810  1805f58f0  ?
0x0811  1805f5da0  ?
0x0824  1805f5ec0  send_eSUB_CMD_ITEM_MOVE_MONEY
0x0825  1805f6070  ?
0x0827  1805fd950  ?
0x0828  1805fd9e0  send_eSUB_CMD_ITEM_UPDATE_QUICKSLOT_ITEM
0x0833  1805fde00  send_eSUB_CMD_ITEM_UPDATE_CASH
0x0847  1805fdb10  send_eSUB_CMD_ITEM_MAZE_REWARD_ITEM
0x0852  1805fdbf0  send_eSUB_CMD_ITEM_APPEARANCE_EQUIP
0x0853  1805fdd30  send_eSUB_CMD_ITEM_NAME_CHANGE
0x0867  1805f5e30  send_eSUB_CMD_ITEM_USE_SELECT
0x0871  1805fdf00  send_eSUB_CMD_ITEM_RESEAL_PACKAGE
0x0873  1805fde80  send_eSUB_CMD_CARD_DECK_PAGE_OPEN
0x0874  180609a40  ?
0x0874  180609b40  ?
0x0901  1805f7630  ?
0x0902  1805f7730  ?
0x0903  1805f77e0  ?
0x0904  1805f7880  ?
0x0913  180607450  send_eSUB_CMD_SHOP_CASH_STEAM_CHARGE_START
0x0915  1806074e0  send_eSUB_CMD_SHOP_CASH_VFUN_CHARGE_START
0x0920  1805f7960  send_eSUB_CMD_SHOP_CASH_LOAD
0x0921  1805f79e0  send_eSUB_CMD_SHOP_CASH_BUY
